city,year,应有B口径但零命中的学校,须人工确认真零
福州,2019,福州外语外贸学院、福建中医药大学、福建技术师范学院,yes
福州,2020,福州大学至诚学院、福建农林大学、福建师范大学协和学院,yes
福州,2021,福州大学至诚学院、福州理工学院、福建师范大学协和学院、福建江夏学院、阳光学院,yes
福州,2022,福州大学至诚学院、福建中医药大学、福建师范大学协和学院,yes
福州,2023,福州大学至诚学院、福建中医药大学、福建师范大学协和学院,yes
福州,2024,福州大学至诚学院、福建中医药大学、福建师范大学协和学院,yes
厦门,2020,集美大学诚毅学院,yes
厦门,2021,集美大学诚毅学院,yes
厦门,2022,集美大学诚毅学院,yes
厦门,2023,集美大学诚毅学院,yes
厦门,2024,集美大学诚毅学院,yes
厦门/泉州,2019,华侨大学,yes
厦门/泉州,2020,华侨大学,yes
厦门/泉州,2021,华侨大学,yes
厦门/泉州,2022,华侨大学,yes
厦门/泉州,2023,华侨大学,yes
厦门/泉州,2024,华侨大学,yes
漳州,2020,厦门大学嘉庚学院、闽南师范大学,yes
漳州,2021,厦门大学嘉庚学院,yes
漳州,2022,厦门大学嘉庚学院,yes
漳州,2023,厦门大学嘉庚学院,yes
漳州,2024,厦门大学嘉庚学院,yes
泉州,2019,泉州职业技术大学,yes
泉州,2020,泉州职业技术大学,yes
泉州,2021,泉州职业技术大学、闽南理工学院,yes
泉州,2022,泉州职业技术大学,yes
泉州,2023,泉州职业技术大学,yes
泉州,2024,泉州职业技术大学,yes
