city,year,E_index_recorded,E_B_recorded,E_index_predicted=(E_B-19)/4106,consistent,implied_E_B_from_E_index,finding
福州,2019,0.285192,1190,0.285192,yes,1190,
福州,2020,0.475402,12471,3.032635,NO,1971,E_index与E_B不一致：E_index隐含E_B=1971，记录值=12471，源表两代数据混杂
福州,2021,0.530200,2196,0.530200,yes,2196,
福州,2022,0.790550,3265,0.790550,yes,3265,
福州,2023,0.760107,3140,0.760107,yes,3140,
福州,2024,0.865563,3573,0.865563,yes,3573,
厦门,2019,0.115928,495,0.115928,yes,495,
厦门,2020,0.131515,559,0.131515,yes,559,
厦门,2021,0.850463,3511,0.850463,yes,3511,
厦门,2022,missing_E,,,,,厦门2022缺失（已有704补齐候选）
厦门,2023,0.889187,3670,0.889187,yes,3670,
厦门,2024,0.677058,2799,0.677058,yes,2799,
泉州,2019,0.230395,965,0.230395,yes,965,
泉州,2020,0.151973,643,0.151973,yes,643,
泉州,2021,0.102289,439,0.102289,yes,439,
泉州,2022,0.317828,1324,0.317828,yes,1324,
泉州,2023,0.086702,375,0.086702,yes,375,
泉州,2024,0.850463,3511,0.850463,yes,3511,
