caliber,city,year,E_index
C,福州,2019,0.028424
C,福州,2020,0.195578
C,福州,2021,0.650891
C,福州,2022,0.789573
C,福州,2023,0.862682
C,福州,2024,1.000000
C,厦门,2019,0.020731
C,厦门,2020,0.214054
C,厦门,2021,0.218380
C,厦门,2022,0.352127
C,厦门,2023,0.368391
C,厦门,2024,0.368754
C,泉州,2019,0.001796
C,泉州,2020,0.065577
C,泉州,2021,0.127272
C,泉州,2022,0.159632
C,泉州,2023,0.186035
C,泉州,2024,0.216636
C,漳州,2019,
C,漳州,2020,0.038745
C,漳州,2021,0.029682
C,漳州,2022,0.029699
C,漳州,2023,0.030796
C,漳州,2024,0.032757
C,莆田,2019,0.249389
C,莆田,2020,0.333613
C,莆田,2021,0.336691
C,莆田,2022,0.190244
C,莆田,2023,0.167973
C,莆田,2024,0.124617
C,三明,2019,
C,三明,2020,
C,三明,2021,0.052702
C,三明,2022,0.041383
C,三明,2023,0.059562
C,三明,2024,0.052096
C,南平,2019,
C,南平,2020,0.000000
C,南平,2021,
C,南平,2022,
C,南平,2023,0.023604
C,南平,2024,0.027821
C,龙岩,2019,
C,龙岩,2020,
C,龙岩,2021,0.026218
C,龙岩,2022,0.023462
C,龙岩,2023,
C,龙岩,2024,
C,宁德,2019,
C,宁德,2020,0.171326
C,宁德,2021,0.082225
C,宁德,2022,0.081198
C,宁德,2023,0.084556
C,宁德,2024,0.024290
B,福州,2019,0.374546
B,福州,2020,0.513916
B,福州,2021,0.720335
B,福州,2022,0.823819
B,福州,2023,0.842119
B,福州,2024,1.000000
B,厦门,2019,0.418943
B,厦门,2020,0.587383
B,厦门,2021,0.614147
B,厦门,2022,0.675136
B,厦门,2023,0.686003
B,厦门,2024,0.712739
B,泉州,2019,0.080566
B,泉州,2020,0.122223
B,泉州,2021,0.211691
B,泉州,2022,0.225149
B,泉州,2023,0.221068
B,泉州,2024,0.258373
B,漳州,2019,0.059526
B,漳州,2020,0.091068
B,漳州,2021,0.131271
B,漳州,2022,0.126493
B,漳州,2023,0.124972
B,漳州,2024,0.125714
B,莆田,2019,0.259495
B,莆田,2020,0.236480
B,莆田,2021,0.274516
B,莆田,2022,0.174377
B,莆田,2023,0.125251
B,莆田,2024,0.081304
B,三明,2019,0.020209
B,三明,2020,0.026875
B,三明,2021,0.068247
B,三明,2022,0.052898
B,三明,2023,0.059602
B,三明,2024,0.070733
B,南平,2019,0.000000
B,南平,2020,0.016955
B,南平,2021,0.023517
B,南平,2022,0.027432
B,南平,2023,0.037401
B,南平,2024,0.039984
B,龙岩,2019,0.056102
B,龙岩,2020,0.040355
B,龙岩,2021,0.092958
B,龙岩,2022,0.096574
B,龙岩,2023,0.062348
B,龙岩,2024,0.082598
B,宁德,2019,
B,宁德,2020,0.060804
B,宁德,2021,0.006142
B,宁德,2022,0.005868
B,宁德,2023,0.011970
B,宁德,2024,0.004631
X,福州,2019,0.409258
X,福州,2020,0.598932
X,福州,2021,0.719348
X,福州,2022,0.820388
X,福州,2023,0.832922
X,福州,2024,0.983833
X,厦门,2019,0.496333
X,厦门,2020,0.692874
X,厦门,2021,0.720640
X,厦门,2022,0.796114
X,厦门,2023,0.789438
X,厦门,2024,0.834657
X,泉州,2019,0.091629
X,泉州,2020,0.106302
X,泉州,2021,0.198519
X,泉州,2022,0.208404
X,泉州,2023,0.207307
X,泉州,2024,0.243392
X,漳州,2019,0.075840
X,漳州,2020,0.102860
X,漳州,2021,0.146612
X,漳州,2022,0.143356
X,漳州,2023,0.141074
X,漳州,2024,0.142623
X,莆田,2019,0.237857
X,莆田,2020,0.206947
X,莆田,2021,0.223962
X,莆田,2022,0.148328
X,莆田,2023,0.119465
X,莆田,2024,0.090464
X,三明,2019,0.041722
X,三明,2020,0.049635
X,三明,2021,0.087828
X,三明,2022,0.069076
X,三明,2023,0.073808
X,三明,2024,0.083466
X,南平,2019,0.026585
X,南平,2020,0.049083
X,南平,2021,0.047421
X,南平,2022,0.052140
X,南平,2023,0.060670
X,南平,2024,0.060886
X,龙岩,2019,0.056949
X,龙岩,2020,0.041298
X,龙岩,2021,0.077510
X,龙岩,2022,0.080219
X,龙岩,2023,0.053743
X,龙岩,2024,0.066471
X,宁德,2019,0.000000
X,宁德,2020,0.064246
X,宁德,2021,0.017247
X,宁德,2022,0.017037
X,宁德,2023,0.021501
X,宁德,2024,0.017216
