caliber,city,year,E_index,I_index,C,T,D,CCD_level,障碍_供给规模,障碍_供给质量,障碍_产业承接,障碍_产业转化,主障碍环节,城市类型,演化路径
C,三明,2019,,,,,,不可计算,,0.5,0.5,,供给质量,不可计算,低位波动型
C,三明,2020,,0.039619,,,,不可计算,,0.342377,0.316061,0.341562,供给质量,不可计算,低位波动型
C,三明,2021,0.052702,0.046802,0.998241,0.049752,0.222855,中度失调,0.235359,0.263089,0.241179,0.260373,供给质量,双低失调,低位波动型
C,三明,2022,0.041383,0.038985,0.999555,0.040184,0.200415,中度失调,0.238909,0.260467,0.240792,0.259832,供给质量,双低失调,低位波动型
C,三明,2023,0.059562,0.079474,0.989692,0.069518,0.2623,中度失调,0.236672,0.268678,0.228269,0.266381,供给质量,双低失调,低位波动型
C,三明,2024,0.052096,0.059015,0.998059,0.055556,0.235474,中度失调,0.237126,0.264706,0.243801,0.254367,供给质量,双低失调,低位波动型
C,南平,2019,,0.041471,,,,不可计算,,0.342811,0.314472,0.342717,供给质量,不可计算,数据不足
C,南平,2020,0.0,0.033055,,,,不可计算,0.254201,0.254201,0.23793,0.253668,供给规模,不可计算,数据不足
C,南平,2021,,0.031947,,,,不可计算,,0.340587,0.322681,0.336732,供给质量,不可计算,数据不足
C,南平,2022,,0.031714,,,,不可计算,,0.340533,0.320294,0.339173,供给质量,不可计算,数据不足
C,南平,2023,0.023604,0.028279,0.995933,0.025941,0.160735,严重失调,0.244542,0.256658,0.242699,0.256101,供给质量,双低失调,数据不足
C,南平,2024,0.027821,0.046342,0.968314,0.037081,0.18949,严重失调,0.245181,0.259627,0.245387,0.249805,供给质量,双低失调,数据不足
C,厦门,2019,0.020731,0.761718,0.321201,0.391224,0.354488,轻度失调,0.393634,0.41066,0.0,0.195706,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2020,0.214054,0.744952,0.832788,0.479503,0.631921,初级协调,0.274686,0.48031,0.045186,0.199819,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2021,0.21838,0.705701,0.849643,0.46204,0.626554,初级协调,0.261748,0.464719,0.035241,0.238292,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2022,0.352127,0.769369,0.928216,0.560748,0.721454,中级协调,0.168324,0.569149,0.061464,0.201063,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2023,0.368391,0.86256,0.91588,0.615476,0.750801,中级协调,0.171132,0.650154,0.015329,0.163385,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2024,0.368754,0.976833,0.892066,0.672794,0.77471,中级协调,0.200555,0.764044,0.035401,0.0,供给质量,产业领先·教育滞后,跃迁协调型
C,宁德,2019,,0.031394,,,,不可计算,,0.340459,0.319082,0.340459,供给质量,不可计算,低位波动型
C,宁德,2020,0.171326,0.025768,0.674226,0.098547,0.257765,中度失调,0.182302,0.27733,0.266065,0.274303,供给质量,双低失调,低位波动型
C,宁德,2021,0.082225,0.030854,0.890852,0.056539,0.224428,中度失调,0.221406,0.264982,0.254004,0.259608,供给质量,双低失调,低位波动型
C,宁德,2022,0.081198,0.063614,0.9926,0.072406,0.268086,中度失调,0.225746,0.269514,0.255373,0.249367,供给质量,双低失调,低位波动型
C,宁德,2023,0.084556,0.113306,0.989387,0.098931,0.31286,轻度失调,0.230529,0.277448,0.256479,0.235545,供给质量,双低失调,低位波动型
C,宁德,2024,0.02429,0.108773,0.772588,0.066532,0.226719,中度失调,0.254808,0.267818,0.254821,0.222553,供给质量,双低失调,低位波动型
