city,year,E_index,I_index,E_minus_I,D,CCD_level,lag_type,data_status,E_B_local_fujian_ai_core_major_plan,命中高校数,命中专业种类数,学校列表,province_scope,data_basis,caliber,可用于实验性CCD,school_detail_school_count,school_names_standardized,school_detail_major_type_count_sum,school_detail_majors_combined,school_detail_unique_major_count,school_detail_候选明细行数_sum,school_detail_来源文件数_sum
厦门,2019,0.115928,0.071429,0.044499,0.301658,轻度失调,balanced,calculated,495.0,2.0,5.0,厦门大学、集美大学,fujian,planned_enrollment,B,是,2.0,厦门大学、集美大学,7.0,计算机科学与技术、计算机类、软件工程、智能科学与技术、网络工程,5.0,21.0,4.0
厦门,2020,0.131515,0.142857,-0.011342,0.370228,轻度失调,balanced,calculated,559.0,1.0,5.0,厦门大学,fujian,planned_enrollment,B,是,1.0,厦门大学,5.0,人工智能、数据科学与大数据技术、物联网工程、计算机类、软件工程,5.0,11.0,1.0
厦门,2021,0.850463,0.619048,0.231415,0.851814,高协调,industry_lag,calculated,3511.0,2.0,8.0,厦门大学、集美大学,fujian,planned_enrollment,B,是,2.0,厦门大学、集美大学,15.0,人工智能、数据科学与大数据技术、智能科学与技术、物联网工程、网络工程、计算机科学与技术、计算机类、软件工程,8.0,70.0,2.0
厦门,2022,,0.428571,,,未计算,missing,missing_E,,,,,,,,,,,,,,,
厦门,2023,0.889187,0.5,0.389187,0.816565,高协调,industry_lag,calculated,3670.0,2.0,10.0,厦门大学、集美大学,fujian,planned_enrollment,B,是,2.0,厦门大学、集美大学,18.0,人工智能、数据科学与大数据技术、智能科学与技术、物联网工程、网络工程、网络空间安全、计算机科学与技术、计算机类、软件工程、信息安全,10.0,90.0,4.0
厦门,2024,0.677058,0.666667,0.010391,0.81966,高协调,balanced,calculated,2799.0,2.0,10.0,厦门大学、集美大学,fujian,planned_enrollment,B,是,2.0,厦门大学、集美大学,10.0,计算机类、人工智能、信息安全、数据科学与大数据技术、智能科学与技术、物联网工程、网络工程、网络空间安全、计算机科学与技术、软件工程,10.0,67.0,3.0
泉州,2019,0.230395,0.0,0.230395,0.0,严重失调,industry_lag,calculated_zero_index,965.0,2.0,6.0,仰恩大学、泉州职业技术大学,fujian,planned_enrollment,B,是,2.0,仰恩大学、泉州职业技术大学,8.0,网络工程、计算机科学与技术、智能科学与技术、物联网工程、计算机类、软件工程,6.0,20.0,2.0
泉州,2020,0.151973,0.0,0.151973,0.0,严重失调,industry_lag,calculated_zero_index,643.0,1.0,4.0,泉州职业技术大学,fujian,planned_enrollment,B,是,1.0,泉州职业技术大学,4.0,物联网工程、网络工程、计算机科学与技术、软件工程,4.0,11.0,1.0
泉州,2021,0.102289,0.47619,-0.373901,0.469789,勉强协调,education_lag,calculated,439.0,1.0,5.0,泉州职业技术大学,fujian,planned_enrollment,B,是,1.0,泉州职业技术大学,5.0,人工智能、物联网工程、网络工程、计算机科学与技术、软件工程,5.0,12.0,1.0
泉州,2022,0.317828,0.142857,0.174971,0.461608,勉强协调,industry_lag,calculated,1324.0,1.0,8.0,泉州职业技术大学,fujian,planned_enrollment,B,是,1.0,泉州职业技术大学,8.0,人工智能、数据科学与大数据技术、智能科学与技术、物联网工程、网络工程、计算机科学与技术、计算机类、软件工程,8.0,28.0,1.0
