city,year,caliber,value,population,data_status
福州,2019,C,,,missing
福州,2019,B,0.1909,,first_class_only(degree_pending)
福州,2019,X,0.1935,,first_class_only(degree_pending)
福州,2020,C,,,missing
福州,2020,B,0.3000,,first_class_only(degree_pending)
福州,2020,X,0.3677,,first_class_only(degree_pending)
福州,2021,C,0.6000,,first_class_only(degree_pending)
福州,2021,B,0.6000,,first_class_only(degree_pending)
福州,2021,X,0.5806,,first_class_only(degree_pending)
福州,2022,C,0.6000,,first_class_only(degree_pending)
福州,2022,B,0.6000,,first_class_only(degree_pending)
福州,2022,X,0.5806,,first_class_only(degree_pending)
福州,2023,C,0.6000,,first_class_only(degree_pending)
福州,2023,B,0.6000,,first_class_only(degree_pending)
福州,2023,X,0.5806,,first_class_only(degree_pending)
福州,2024,C,0.6000,,first_class_only(degree_pending)
福州,2024,B,0.6000,,first_class_only(degree_pending)
福州,2024,X,0.5806,,first_class_only(degree_pending)
厦门,2019,C,,,missing
厦门,2019,B,0.3273,,first_class_only(degree_pending)
厦门,2019,X,0.3677,,first_class_only(degree_pending)
厦门,2020,C,,,missing
厦门,2020,B,0.4364,,first_class_only(degree_pending)
厦门,2020,X,0.4839,,first_class_only(degree_pending)
厦门,2021,C,,,missing
厦门,2021,B,0.5182,,first_class_only(degree_pending)
厦门,2021,X,0.6000,,first_class_only(degree_pending)
厦门,2022,C,,,missing
厦门,2022,B,0.5182,,first_class_only(degree_pending)
厦门,2022,X,0.6000,,first_class_only(degree_pending)
厦门,2023,C,,,missing
厦门,2023,B,0.5182,,first_class_only(degree_pending)
厦门,2023,X,0.6000,,first_class_only(degree_pending)
厦门,2024,C,,,missing
厦门,2024,B,0.5182,,first_class_only(degree_pending)
厦门,2024,X,0.6000,,first_class_only(degree_pending)
泉州,2019,C,,,missing
泉州,2019,B,0.0273,,first_class_only(degree_pending)
泉州,2019,X,0.0194,,first_class_only(degree_pending)
泉州,2020,C,,,missing
泉州,2020,B,0.0273,,first_class_only(degree_pending)
泉州,2020,X,0.0194,,first_class_only(degree_pending)
泉州,2021,C,,,missing
泉州,2021,B,0.1364,,first_class_only(degree_pending)
泉州,2021,X,0.1161,,first_class_only(degree_pending)
泉州,2022,C,,,missing
泉州,2022,B,0.1364,,first_class_only(degree_pending)
泉州,2022,X,0.1161,,first_class_only(degree_pending)
泉州,2023,C,,,missing
泉州,2023,B,0.1364,,first_class_only(degree_pending)
泉州,2023,X,0.1161,,first_class_only(degree_pending)
泉州,2024,C,,,missing
泉州,2024,B,0.1364,,first_class_only(degree_pending)
泉州,2024,X,0.1161,,first_class_only(degree_pending)
漳州,2019,C,,,missing
漳州,2019,B,0.0273,,first_class_only(degree_pending)
