city,year,caliber,value,population,data_status
福州,2019,C,125,827.2,calculated
福州,2019,B,2715,827.2,calculated
福州,2019,X,4416,827.2,calculated
福州,2020,C,646,832,calculated
福州,2020,B,3295,832,calculated
福州,2020,X,5202,832,calculated
福州,2021,C,513,842,calculated
福州,2021,B,2821,842,calculated
福州,2021,X,4279,842,calculated
福州,2022,C,953,844.8,calculated
福州,2022,B,4054,844.8,calculated
福州,2022,X,6046,844.8,calculated
福州,2023,C,1187,846.9,calculated
福州,2023,B,4281,846.9,calculated
福州,2023,X,6279,846.9,calculated
福州,2024,C,1628,850,calculated
福州,2024,B,6175,850,calculated
福州,2024,X,8936,850,calculated
厦门,2019,C,63,515,calculated
厦门,2019,B,1191,515,calculated
厦门,2019,X,2135,515,calculated
厦门,2020,C,438,518,calculated
厦门,2020,B,1760,518,calculated
厦门,2020,X,3208,518,calculated
厦门,2021,C,455,528,calculated
厦门,2021,B,1488,528,calculated
厦门,2021,X,2522,528,calculated
厦门,2022,C,723,530.8,calculated
厦门,2022,B,1949,530.8,calculated
厦门,2022,X,3358,530.8,calculated
厦门,2023,C,758,532.7,calculated
厦门,2023,B,2037,532.7,calculated
厦门,2023,X,3297,532.7,calculated
厦门,2024,C,762,535,calculated
厦门,2024,B,2246,535,calculated
厦门,2024,X,3808,535,calculated
泉州,2019,C,45,873.9,calculated
泉州,2019,B,940,873.9,calculated
泉州,2019,X,1569,873.9,calculated
泉州,2020,C,255,879,calculated
泉州,2020,B,1458,879,calculated
泉州,2020,X,1843,879,calculated
泉州,2021,C,461,885,calculated
泉州,2021,B,1450,885,calculated
泉州,2021,X,2067,885,calculated
泉州,2022,C,570,887.9,calculated
泉州,2022,B,1622,887.9,calculated
泉州,2022,X,2254,887.9,calculated
泉州,2023,C,658,888.3,calculated
泉州,2023,B,1572,888.3,calculated
泉州,2023,X,2235,888.3,calculated
泉州,2024,C,762,891,calculated
泉州,2024,B,2042,891,calculated
泉州,2024,X,2902,891,calculated
漳州,2019,C,,503.1,missing_or_truezero
漳州,2019,B,393,503.1,calculated
漳州,2019,X,574,503.1,calculated
漳州,2020,C,96,506,calculated
漳州,2020,B,297,506,calculated
漳州,2020,X,355,506,calculated
漳州,2021,C,79,507,calculated
漳州,2021,B,260,507,calculated
漳州,2021,X,308,507,calculated
漳州,2022,C,79,506.8,calculated
漳州,2022,B,226,506.8,calculated
漳州,2022,X,274,506.8,calculated
漳州,2023,C,81,506.3,calculated
漳州,2023,B,215,506.3,calculated
漳州,2023,X,250,506.3,calculated
漳州,2024,C,85,508,calculated
漳州,2024,B,221,508,calculated
漳州,2024,X,267,508,calculated
莆田,2019,C,312,319.1,calculated
莆田,2019,B,1244,319.1,calculated
莆田,2019,X,1637,319.1,calculated
莆田,2020,C,415,321,calculated
莆田,2020,B,1148,321,calculated
莆田,2020,X,1443,321,calculated
莆田,2021,C,420,322,calculated
莆田,2021,B,1323,322,calculated
莆田,2021,X,1560,322,calculated
莆田,2022,C,242,319.9,calculated
莆田,2022,B,866,319.9,calculated
莆田,2022,X,1053,319.9,calculated
莆田,2023,C,214,317.9,calculated
莆田,2023,B,642,317.9,calculated
莆田,2023,X,858,317.9,calculated
莆田,2024,C,163,319,calculated
莆田,2024,B,448,319,calculated
莆田,2024,X,671,319,calculated
三明,2019,C,,247.6,missing_or_truezero
三明,2019,B,136,247.6,calculated
三明,2019,X,273,247.6,calculated
三明,2020,C,,249,missing_or_truezero
三明,2020,B,160,249,calculated
三明,2020,X,315,249,calculated
三明,2021,C,60,248,calculated
三明,2021,B,224,248,calculated
三明,2021,X,344,248,calculated
三明,2022,C,49,245.5,calculated
三明,2022,B,169,245.5,calculated
三明,2022,X,246,245.5,calculated
三明,2023,C,65,242.9,calculated
三明,2023,B,190,242.9,calculated
三明,2023,X,267,242.9,calculated
三明,2024,C,58,242,calculated
三明,2024,B,227,242,calculated
三明,2024,X,314,242,calculated
南平,2019,C,,266.5,missing_or_truezero
南平,2019,B,71,266.5,calculated
南平,2019,X,211,266.5,calculated
南平,2020,C,12,268,calculated
南平,2020,B,135,268,calculated
南平,2020,X,336,268,calculated
南平,2021,C,,267,missing_or_truezero
南平,2021,B,74,267,calculated
南平,2021,X,237,267,calculated
南平,2022,C,,265.1,missing_or_truezero
南平,2022,B,88,265.1,calculated
南平,2022,X,261,265.1,calculated
南平,2023,C,35,263,calculated
南平,2023,B,124,263,calculated
南平,2023,X,305,263,calculated
南平,2024,C,39,262,calculated
南平,2024,B,133,262,calculated
南平,2024,X,305,262,calculated
龙岩,2019,C,,271.4,missing_or_truezero
龙岩,2019,B,199,271.4,calculated
龙岩,2019,X,294,271.4,calculated
龙岩,2020,C,,273,missing_or_truezero
龙岩,2020,B,140,273,calculated
龙岩,2020,X,208,273,calculated
龙岩,2021,C,39,273,calculated
龙岩,2021,B,341,273,calculated
龙岩,2021,X,411,273,calculated
龙岩,2022,C,36,271.6,calculated
龙岩,2022,B,353,271.6,calculated
龙岩,2022,X,424,271.6,calculated
龙岩,2023,C,,269.3,missing_or_truezero
龙岩,2023,B,221,269.3,calculated
龙岩,2023,X,274,269.3,calculated
龙岩,2024,C,,269,missing_or_truezero
龙岩,2024,B,297,269,calculated
龙岩,2024,X,344,269,calculated
宁德,2019,C,,313.2,missing_or_truezero
宁德,2019,B,,313.2,missing_or_truezero
宁德,2019,X,77,313.2,calculated
宁德,2020,C,216,315,calculated
宁德,2020,B,352,315,calculated
宁德,2020,X,493,315,calculated
宁德,2021,C,111,315,calculated
宁德,2021,B,111,315,calculated
宁德,2021,X,189,315,calculated
宁德,2022,C,110,315.6,calculated
宁德,2022,B,110,315.6,calculated
宁德,2022,X,188,315.6,calculated
宁德,2023,C,114,315.7,calculated
宁德,2023,B,137,315.7,calculated
宁德,2023,X,217,315.7,calculated
宁德,2024,C,43,317,calculated
宁德,2024,B,105,317,calculated
宁德,2024,X,190,317,calculated
