city,year,caliber,value,population,data_status
福州,2019,C,,827.2,
福州,2019,B,,827.2,
福州,2019,X,,827.2,
福州,2020,C,,832,
福州,2020,B,,832,
福州,2020,X,,832,
福州,2021,C,,842,
福州,2021,B,,842,
福州,2021,X,,842,
福州,2022,C,,844.8,
福州,2022,B,,844.8,
福州,2022,X,,844.8,
福州,2023,C,,846.9,
福州,2023,B,,846.9,
福州,2023,X,,846.9,
福州,2024,C,,850,
福州,2024,B,,850,
福州,2024,X,,850,
厦门,2019,C,,515,
厦门,2019,B,,515,
厦门,2019,X,,515,
厦门,2020,C,,518,
厦门,2020,B,,518,
厦门,2020,X,,518,
厦门,2021,C,,528,
厦门,2021,B,,528,
厦门,2021,X,,528,
厦门,2022,C,,530.8,
厦门,2022,B,,530.8,
厦门,2022,X,,530.8,
厦门,2023,C,,532.7,
厦门,2023,B,,532.7,
厦门,2023,X,,532.7,
厦门,2024,C,,535,
厦门,2024,B,,535,
厦门,2024,X,,535,
泉州,2019,C,,873.9,
泉州,2019,B,,873.9,
泉州,2019,X,,873.9,
泉州,2020,C,,879,
泉州,2020,B,,879,
泉州,2020,X,,879,
泉州,2021,C,,885,
泉州,2021,B,,885,
泉州,2021,X,,885,
泉州,2022,C,,887.9,
泉州,2022,B,,887.9,
泉州,2022,X,,887.9,
泉州,2023,C,,888.3,
泉州,2023,B,,888.3,
泉州,2023,X,,888.3,
泉州,2024,C,,891,
泉州,2024,B,,891,
泉州,2024,X,,891,
漳州,2019,C,,503.1,
漳州,2019,B,,503.1,
漳州,2019,X,,503.1,
漳州,2020,C,,506,
漳州,2020,B,,506,
漳州,2020,X,,506,
漳州,2021,C,,507,
漳州,2021,B,,507,
漳州,2021,X,,507,
漳州,2022,C,,506.8,
漳州,2022,B,,506.8,
漳州,2022,X,,506.8,
漳州,2023,C,,506.3,
漳州,2023,B,,506.3,
漳州,2023,X,,506.3,
漳州,2024,C,,508,
漳州,2024,B,,508,
漳州,2024,X,,508,
莆田,2019,C,,319.1,
莆田,2019,B,,319.1,
莆田,2019,X,,319.1,
莆田,2020,C,,321,
莆田,2020,B,,321,
莆田,2020,X,,321,
莆田,2021,C,,322,
莆田,2021,B,,322,
莆田,2021,X,,322,
莆田,2022,C,,319.9,
莆田,2022,B,,319.9,
莆田,2022,X,,319.9,
莆田,2023,C,,317.9,
莆田,2023,B,,317.9,
莆田,2023,X,,317.9,
莆田,2024,C,,319,
莆田,2024,B,,319,
莆田,2024,X,,319,
三明,2019,C,,247.6,
三明,2019,B,,247.6,
三明,2019,X,,247.6,
三明,2020,C,,249,
三明,2020,B,,249,
三明,2020,X,,249,
三明,2021,C,,248,
三明,2021,B,,248,
三明,2021,X,,248,
三明,2022,C,,245.5,
三明,2022,B,,245.5,
三明,2022,X,,245.5,
三明,2023,C,,242.9,
三明,2023,B,,242.9,
三明,2023,X,,242.9,
三明,2024,C,,242,
三明,2024,B,,242,
三明,2024,X,,242,
南平,2019,C,,266.5,
南平,2019,B,,266.5,
南平,2019,X,,266.5,
南平,2020,C,,268,
南平,2020,B,,268,
南平,2020,X,,268,
南平,2021,C,,267,
南平,2021,B,,267,
南平,2021,X,,267,
南平,2022,C,,265.1,
南平,2022,B,,265.1,
南平,2022,X,,265.1,
南平,2023,C,,263,
南平,2023,B,,263,
南平,2023,X,,263,
南平,2024,C,,262,
南平,2024,B,,262,
南平,2024,X,,262,
龙岩,2019,C,,271.4,
龙岩,2019,B,,271.4,
龙岩,2019,X,,271.4,
龙岩,2020,C,,273,
龙岩,2020,B,,273,
龙岩,2020,X,,273,
龙岩,2021,C,,273,
龙岩,2021,B,,273,
龙岩,2021,X,,273,
龙岩,2022,C,,271.6,
龙岩,2022,B,,271.6,
龙岩,2022,X,,271.6,
龙岩,2023,C,,269.3,
龙岩,2023,B,,269.3,
龙岩,2023,X,,269.3,
龙岩,2024,C,,269,
龙岩,2024,B,,269,
龙岩,2024,X,,269,
宁德,2019,C,,313.2,
宁德,2019,B,,313.2,
宁德,2019,X,,313.2,
宁德,2020,C,,315,
宁德,2020,B,,315,
宁德,2020,X,,315,
宁德,2021,C,,315,
宁德,2021,B,,315,
宁德,2021,X,,315,
宁德,2022,C,,315.6,
宁德,2022,B,,315.6,
宁德,2022,X,,315.6,
宁德,2023,C,,315.7,
宁德,2023,B,,315.7,
宁德,2023,X,,315.7,
宁德,2024,C,,317,
宁德,2024,B,,317,
宁德,2024,X,,317,
