city,year,caliber,value,population,data_status
福州,2019,C,,,
福州,2019,B,,,
福州,2019,X,,,
福州,2020,C,,,
福州,2020,B,,,
福州,2020,X,,,
福州,2021,C,,,
福州,2021,B,,,
福州,2021,X,,,
福州,2022,C,,,
福州,2022,B,,,
福州,2022,X,,,
福州,2023,C,,,
福州,2023,B,,,
福州,2023,X,,,
福州,2024,C,,,
福州,2024,B,,,
福州,2024,X,,,
厦门,2019,C,,,
厦门,2019,B,,,
厦门,2019,X,,,
厦门,2020,C,,,
厦门,2020,B,,,
厦门,2020,X,,,
厦门,2021,C,,,
厦门,2021,B,,,
厦门,2021,X,,,
厦门,2022,C,,,
厦门,2022,B,,,
厦门,2022,X,,,
厦门,2023,C,,,
厦门,2023,B,,,
厦门,2023,X,,,
厦门,2024,C,,,
厦门,2024,B,,,
厦门,2024,X,,,
泉州,2019,C,,,
泉州,2019,B,,,
泉州,2019,X,,,
泉州,2020,C,,,
泉州,2020,B,,,
泉州,2020,X,,,
泉州,2021,C,,,
泉州,2021,B,,,
泉州,2021,X,,,
泉州,2022,C,,,
泉州,2022,B,,,
泉州,2022,X,,,
泉州,2023,C,,,
泉州,2023,B,,,
泉州,2023,X,,,
泉州,2024,C,,,
泉州,2024,B,,,
泉州,2024,X,,,
漳州,2019,C,,,
漳州,2019,B,,,
漳州,2019,X,,,
漳州,2020,C,,,
漳州,2020,B,,,
漳州,2020,X,,,
漳州,2021,C,,,
漳州,2021,B,,,
漳州,2021,X,,,
漳州,2022,C,,,
漳州,2022,B,,,
漳州,2022,X,,,
漳州,2023,C,,,
漳州,2023,B,,,
漳州,2023,X,,,
漳州,2024,C,,,
漳州,2024,B,,,
漳州,2024,X,,,
莆田,2019,C,,,
莆田,2019,B,,,
莆田,2019,X,,,
莆田,2020,C,,,
莆田,2020,B,,,
莆田,2020,X,,,
莆田,2021,C,,,
莆田,2021,B,,,
莆田,2021,X,,,
莆田,2022,C,,,
莆田,2022,B,,,
莆田,2022,X,,,
莆田,2023,C,,,
莆田,2023,B,,,
莆田,2023,X,,,
莆田,2024,C,,,
莆田,2024,B,,,
莆田,2024,X,,,
三明,2019,C,,,
三明,2019,B,,,
三明,2019,X,,,
三明,2020,C,,,
三明,2020,B,,,
三明,2020,X,,,
三明,2021,C,,,
三明,2021,B,,,
三明,2021,X,,,
三明,2022,C,,,
三明,2022,B,,,
三明,2022,X,,,
三明,2023,C,,,
三明,2023,B,,,
三明,2023,X,,,
三明,2024,C,,,
三明,2024,B,,,
三明,2024,X,,,
南平,2019,C,,,
南平,2019,B,,,
南平,2019,X,,,
南平,2020,C,,,
南平,2020,B,,,
南平,2020,X,,,
南平,2021,C,,,
南平,2021,B,,,
南平,2021,X,,,
南平,2022,C,,,
南平,2022,B,,,
南平,2022,X,,,
南平,2023,C,,,
南平,2023,B,,,
南平,2023,X,,,
南平,2024,C,,,
南平,2024,B,,,
南平,2024,X,,,
龙岩,2019,C,,,
龙岩,2019,B,,,
龙岩,2019,X,,,
龙岩,2020,C,,,
龙岩,2020,B,,,
龙岩,2020,X,,,
龙岩,2021,C,,,
龙岩,2021,B,,,
龙岩,2021,X,,,
龙岩,2022,C,,,
龙岩,2022,B,,,
龙岩,2022,X,,,
龙岩,2023,C,,,
龙岩,2023,B,,,
龙岩,2023,X,,,
龙岩,2024,C,,,
龙岩,2024,B,,,
龙岩,2024,X,,,
宁德,2019,C,,,
宁德,2019,B,,,
宁德,2019,X,,,
宁德,2020,C,,,
宁德,2020,B,,,
宁德,2020,X,,,
宁德,2021,C,,,
宁德,2021,B,,,
宁德,2021,X,,,
宁德,2022,C,,,
宁德,2022,B,,,
宁德,2022,X,,,
宁德,2023,C,,,
宁德,2023,B,,,
宁德,2023,X,,,
宁德,2024,C,,,
宁德,2024,B,,,
宁德,2024,X,,,
