2026-06-08 17:44:06,648 | INFO | Start crawling Xiamen public basic papers
2026-06-08 17:44:06,648 | INFO | Search query: 2022 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 17:44:06,658 | WARNING | Search failed 2022 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,658 | INFO | Search query: 2022 公共基础知识综合卷
2026-06-08 17:44:06,659 | WARNING | Search failed 2022 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,659 | INFO | Search query: 2022 中职学考公共基础数学
2026-06-08 17:44:06,659 | WARNING | Search failed 2022 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,659 | INFO | Search query: 2022 厦门 中职 公共基础 模拟卷 数学
2026-06-08 17:44:06,659 | WARNING | Search failed 2022 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,660 | INFO | Search query: 2022 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 17:44:06,660 | WARNING | Search failed 2022 厦门市 中职 学考 公共基础知识 模拟试卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,660 | INFO | Search query: 2023 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 17:44:06,660 | WARNING | Search failed 2023 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,660 | INFO | Search query: 2023 公共基础知识综合卷
2026-06-08 17:44:06,661 | WARNING | Search failed 2023 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,661 | INFO | Search query: 2023 中职学考公共基础数学
2026-06-08 17:44:06,661 | WARNING | Search failed 2023 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,661 | INFO | Search query: 2023 厦门 中职 公共基础 模拟卷 数学
2026-06-08 17:44:06,661 | WARNING | Search failed 2023 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 17:44:06,662 | INFO | Search query: 2023 厦门市 中职 学考 公共基础知识 模拟试卷
