system,indicator_code,indicator_name,scope_level,province,city,school,year,value,unit,source_id,collection_method,confidence,needs_manual_review,notes
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2018,0,个,MOE_UNDERGRAD_2018,自动解析教育部本科专业备案/审批附件,A,否,已解析该年度教育部福建省专业记录，未发现匹配当前口径的专业。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2018,0,所,MOE_UNDERGRAD_2018,自动解析教育部本科专业备案/审批附件并按高校去重,A,否,已解析该年度教育部福建省专业记录，未发现匹配当前口径的专业。
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2019,,个,,自动解析教育部本科专业备案/审批附件,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2019,,所,,自动解析教育部本科专业备案/审批附件并按高校去重,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2020,3,个,MOE_UNDERGRAD_2020,自动解析教育部本科专业备案/审批附件,A,否,学校：三明学院；闽江学院；集美大学
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2020,3,所,MOE_UNDERGRAD_2020,自动解析教育部本科专业备案/审批附件并按高校去重,A,否,学校：三明学院；闽江学院；集美大学
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2021,,个,,自动解析教育部本科专业备案/审批附件,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2021,,所,,自动解析教育部本科专业备案/审批附件并按高校去重,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2022,,个,,自动解析教育部本科专业备案/审批附件,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2022,,所,,自动解析教育部本科专业备案/审批附件并按高校去重,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2023,,个,,自动解析教育部本科专业备案/审批附件,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2023,,所,,自动解析教育部本科专业备案/审批附件并按高校去重,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2024,,个,,自动解析教育部本科专业备案/审批附件,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2024,,所,,自动解析教育部本科专业备案/审批附件并按高校去重,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_MAJOR_COUNT,人工智能专业数量,保守口径,福建省,,,2025,,个,,自动解析教育部本科专业备案/审批附件,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
教育系统 E,E1_AI_SCHOOL_COUNT,开设人工智能专业高校数量,保守口径,福建省,,,2025,,所,,自动解析教育部本科专业备案/审批附件并按高校去重,待核验,是,自动解析未得到已核验学校明细；若PDF仅关键词命中，则未计入正式值。
