system,indicator_code,indicator_name,scope_level,province,city,school,year,value,unit,source_id,collection_method,confidence,needs_manual_review,notes
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2018,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2019,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2020,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2021,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2022,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2023,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2024,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案抽取,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_MAJOR_COUNT,AI核心专业群数量,E2 基本口径,福建省,,,2025,,个/专业点,SRC_E2_METHOD_XLSX,当前阶段未定位到2025年度教育部正式结果需后续核验,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2018,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2019,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2020,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2021,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2022,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2023,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2024,,所,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待按教育部年度专业备案去重高校,低,是,未核验数值不可进入模型
教育系统 E,E2_CORE_SCHOOL_COUNT,开设AI核心专业群高校数量,E2 基本口径,福建省,,,2025,,所,SRC_E2_METHOD_XLSX,当前阶段未定位到2025年度教育部正式结果需后续核验,低,是,未核验数值不可进入模型
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2018,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2019,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2020,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2021,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2022,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2023,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2024,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_ENROLL_PLAN,AI核心专业招生计划人数,E2 基本口径,福建省,,,2025,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从阳光高考或高校招生计划核验,低,是,招生计划格式分散不可估算
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2018,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2019,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2020,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2021,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2022,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
