source_id,source_title,source_url,publisher,access_date,source_type,reliability_level,raw_file_path,notes
MOE_UNDERGRAD_2018,教育部关于公布2018年度普通高等学校本科专业备案和审批结果的通知附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/W020190329560198491315.docx,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020190329560198491315.docx,父页面 https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html；当前阶段未下载原始附件
MOE_UNDERGRAD_2019,教育部关于公布2019年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/W020200303365402032446.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020200303365402032446.pdf,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html；当前阶段未下载原始附件
MOE_UNDERGRAD_2020,教育部关于公布2020年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/W020210302545152199812.xls,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020210302545152199812.xls,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html；当前阶段未下载原始附件
MOE_UNDERGRAD_2021,教育部关于公布2021年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/W020220228600206028276.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020220228600206028276.pdf,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html；当前阶段未下载原始附件
MOE_UNDERGRAD_2022,教育部关于公布2022年度普通高等学校本科专业备案和审批结果的通知附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/W020230419336779647503.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020230419336779647503.pdf,父页面 http://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html；当前阶段未下载原始附件
MOE_UNDERGRAD_2023,教育部关于公布2023年度普通高等学校本科专业备案和审批结果的通知附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/W020240319305498774149.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020240319305498774149.pdf,父页面 https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html；当前阶段未下载原始附件
MOE_UNDERGRAD_2024,教育部关于公布2024年度普通高等学校本科专业备案和审批结果附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780758186.pdf,中华人民共和国教育部,2026-05-17,本科专业备案审批结果,A,raw/W020250422312780758186.pdf,父页面 https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html；当前阶段未下载原始附件
MOE_CATALOG_2026,教育部关于公布普通高等学校本科专业目录2026年的通知,http://www.moe.gov.cn/srcsite/A08/moe_1034/s3882/202604/t20260427_1434931.html,中华人民共和国教育部,2026-05-17,本科专业目录通知,A,raw/t20260427_1434931.html,不是2025年度备案审批结果数据源；仅作为待定位2025年度结果的线索；附件 http://www.moe.gov.cn/srcsite/A08/moe_1034/s3882/202604/W020260427440749576927.pdf
MOE_CATALOG_2026_ATTACH_fad57f5f,教育部关于公布普通高等学校本科专业目录2026年的通知 附件,http://www.moe.gov.cn/srcsite/A08/moe_1034/s3882/202604/W020260427440749576927.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020260427440749576927.pdf,由页面自动发现：http://www.moe.gov.cn/srcsite/A08/moe_1034/s3882/202604/t20260427_1434931.html
SRC_MOE_MAJOR_2024_PAGE,2024年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html,教育部,2026-05-17,教育部通知页面,A,raw/t20250422_1188239.html,已定位附件链接但按用户要求停止继续下载和抽取
