year,province,school,major,source_id,source_file,extraction_method,confidence,notes
2018,福建省,福建省,福建省,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建工程学院,智能科学与技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建工程学院,网络与新媒体,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建工程学院,机械电子工程,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建江夏学院,风景园林,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建江夏学院,市场营销,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学协和学院,智能科学与技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学闽南科技学院,物联网工程,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学闽南科技学院,产品设计,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学闽南科技学院,数据科学与大数据技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学闽南科技学院,投资学,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学闽南科技学院,商务英语,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建商学院,物流管理,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建商学院,物联网工程,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建商学院,数据科学与大数据技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建商学院,工业工程,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学,网络空间安全,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建警察学院,禁毒学,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建警察学院,网络安全与执法,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建商学院,会计学,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建江夏学院,数据科学与大数据技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建中医药大学,医学检验技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学协和学院,电子信息科学与技术,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建农林大学东方学院,日语,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建师范大学闽南科技学院,教育技术学,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2018,福建省,福建农林大学金山学院,园艺,MOE_UNDERGRAD_2018,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020190329560198491315.docx,python-docx table extraction,A,
2020,福建省,福州大学,储能科学与工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建工程学院,数字经济,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建工程学院,互联网金融,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建工程学院,智能制造工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建农林大学,智能建造,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建农林大学,农业智能装备工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建农林大学,食品营养与健康,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建农林大学,智慧农业,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,集美大学,戏剧影视文学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,集美大学,人工智能,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建医科大学,运动康复,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建师范大学,马克思主义理论,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建师范大学,储能科学与工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽江学院,人工智能,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,国际经济与贸易,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,汉语言文学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,计算机科学与技术,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,化学工程与工艺,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,食品质量与安全,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,园艺,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,药学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,护理学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,工程造价,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,物流管理,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,茶学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,武夷学院,旅游管理,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,宁德师范学院,冶金工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,宁德师范学院,建筑电气与智能化,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,宁德师范学院,休闲体育,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,宁德师范学院,茶学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,泉州师范学院,知识产权,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,广告学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,应用统计学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,计算机科学与技术,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,环境科学与工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,国际商务,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,数据计算及应用,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南师范大学,食品营养与健康,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,厦门理工学院,环境生态工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,厦门理工学院,影视摄影与制作,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,三明学院,人工智能,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,三明学院,机器人工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建商学院,工艺美术,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建商学院,会展,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建商学院,烹饪与营养教育,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建商学院,零售业管理,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福建商学院,跨境电子商务,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,仰恩大学,网络与新媒体,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,厦门华厦学院,音乐学,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,闽南理工学院,智能建造,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福州工商学院,数字媒体艺术,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福州工商学院,互联网金融,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,福州工商学院,区块链工程,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,厦门工学院,数据科学与大数据技术,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,厦门工学院,跨境电子商务,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
2020,福建省,阳光学院,数字媒体艺术,MOE_UNDERGRAD_2020,C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\education_collection\E1_conservative\raw\W020210302545152199812.xls,pandas read_excel/附件1排版,A,
