province,year,indicator_id,label,keyword,candidate_value,context,source_title,source_url
福建,2024,F_FIN_GDP,金融业增加值/GDP,金融业增加值,7.0 %, 亿元，比上年增长 7.0 %；交通运输、仓储和邮政业增加值 1885.66 亿元，增长 9.4 %；住宿和餐饮业增加值 987.91 亿元，增长 7.9 %；金融业增加值 3258.74 亿元，增长 1.8 %；房地产业增加值 2738.19 亿元，下降 5.0 %。规模以上服务业企业营业收入比上年增长 9.5 %。 图7 2020-2024年服务业增加值及其增长速度 全年 公路通车里程 116364.63,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,金融业增加值,1885.66 亿元, 亿元，比上年增长 7.0 %；交通运输、仓储和邮政业增加值 1885.66 亿元，增长 9.4 %；住宿和餐饮业增加值 987.91 亿元，增长 7.9 %；金融业增加值 3258.74 亿元，增长 1.8 %；房地产业增加值 2738.19 亿元，下降 5.0 %。规模以上服务业企业营业收入比上年增长 9.5 %。 图7 2020-2024年服务业增加值及其增长速度 全年 公路通车里程 116364.63,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,金融业增加值,9.4 %, 亿元，比上年增长 7.0 %；交通运输、仓储和邮政业增加值 1885.66 亿元，增长 9.4 %；住宿和餐饮业增加值 987.91 亿元，增长 7.9 %；金融业增加值 3258.74 亿元，增长 1.8 %；房地产业增加值 2738.19 亿元，下降 5.0 %。规模以上服务业企业营业收入比上年增长 9.5 %。 图7 2020-2024年服务业增加值及其增长速度 全年 公路通车里程 116364.63,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,金融业增加值,987.91 亿元, 亿元，比上年增长 7.0 %；交通运输、仓储和邮政业增加值 1885.66 亿元，增长 9.4 %；住宿和餐饮业增加值 987.91 亿元，增长 7.9 %；金融业增加值 3258.74 亿元，增长 1.8 %；房地产业增加值 2738.19 亿元，下降 5.0 %。规模以上服务业企业营业收入比上年增长 9.5 %。 图7 2020-2024年服务业增加值及其增长速度 全年 公路通车里程 116364.63,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,024,024年福建省国民经济和社会发展统计公报 [1] 福 建 省 统 计 局 国家统计局福建调查总队 202 5 年 3 月 14 日 一、综合 初步核算，全年实现地区生产总值 [ 2 ][ 3 ] 57761.02 亿元，比上年增长 5.5 %。其中，第一产业增加值 3287.67 亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,1,024年福建省国民经济和社会发展统计公报 [1] 福 建 省 统 计 局 国家统计局福建调查总队 202 5 年 3 月 14 日 一、综合 初步核算，全年实现地区生产总值 [ 2 ][ 3 ] 57761.02 亿元，比上年增长 5.5 %。其中，第一产业增加值 3287.67 亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,202,024年福建省国民经济和社会发展统计公报 [1] 福 建 省 统 计 局 国家统计局福建调查总队 202 5 年 3 月 14 日 一、综合 初步核算，全年实现地区生产总值 [ 2 ][ 3 ] 57761.02 亿元，比上年增长 5.5 %。其中，第一产业增加值 3287.67 亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,5,024年福建省国民经济和社会发展统计公报 [1] 福 建 省 统 计 局 国家统计局福建调查总队 202 5 年 3 月 14 日 一、综合 初步核算，全年实现地区生产总值 [ 2 ][ 3 ] 57761.02 亿元，比上年增长 5.5 %。其中，第一产业增加值 3287.67 亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,3.4 %,亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5.5 %。 第一 产业增加值占地区生产总值的比重为 5.7 %， 第二 产业增加值比重为 42.8 %， 第三 产业增加值比重为 51.5 %。全年人均 地区 生产总值 137920 元，比上年增长 5.5 %。 图1 20 20 -202 4 年地区生产总值及其增长速度 图2 2,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,24713.16 亿元,亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5.5 %。 第一 产业增加值占地区生产总值的比重为 5.7 %， 第二 产业增加值比重为 42.8 %， 第三 产业增加值比重为 51.5 %。全年人均 地区 生产总值 137920 元，比上年增长 5.5 %。 图1 20 20 -202 4 年地区生产总值及其增长速度 图2 2,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,5.8 %,亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5.5 %。 第一 产业增加值占地区生产总值的比重为 5.7 %， 第二 产业增加值比重为 42.8 %， 第三 产业增加值比重为 51.5 %。全年人均 地区 生产总值 137920 元，比上年增长 5.5 %。 图1 20 20 -202 4 年地区生产总值及其增长速度 图2 2,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
福建,2024,F_FIN_GDP,金融业增加值/GDP,地区生产总值,29760.19 亿元,亿元，增长 3.4 %；第二产业增加值 24713.16 亿元，增长 5.8 %；第三产业增加值 29760.19 亿元，增长 5.5 %。 第一 产业增加值占地区生产总值的比重为 5.7 %， 第二 产业增加值比重为 42.8 %， 第三 产业增加值比重为 51.5 %。全年人均 地区 生产总值 137920 元，比上年增长 5.5 %。 图1 20 20 -202 4 年地区生产总值及其增长速度 图2 2,2024年福建省国民经济和社会发展统计公报,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
