table_file,rows,columns,source_url
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_1.csv,11,4,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_2.csv,14,3,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_3.csv,25,4,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_4.csv,11,4,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_5.csv,11,4,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_6.csv,20,2,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_7.csv,15,2,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_8.csv,12,3,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_9.csv,9,5,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_10.csv,9,3,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_F_FIN_GDP_www.fujian.gov.cn_3cc0ff34ad74_table_11.csv,10,2,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm
C:\金融专硕\论文\硕士毕业论文_Obsidian_MD统一整理_20260512\数据\raw\tables\福建_2024_E_AI_MAJOR_COUNT_www.moe.gov.cn_427ce64d1aaa_table_1.csv,4,6,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html
